,Substrate SMILES,Alkene SMILES,Acid SMILES,Temp /C,ee
37,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC=CC(C)=C1)N2C(C(O)=O)N(C(C3=CC(C)=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,56
38,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC(C)=CC(C)=C1)N2C(C(O)=O)N(C(C3=CC(C)=CC(C)=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,55
39,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC5=C(C=CC=C5)C=C4)[C@@H]2C6=CC7=C(C=CC=C7)C=C6,25,54
40,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC=C(C(C)C)C=C1)N2C(C(O)=O)N(C(C3=CC=C(C(C)C)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,54
41,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC=C(C)C=C1)N2C(C(O)=O)N(C(C3=CC=C(C)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,52
42,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC=CC(C)=C1)N2C(C(O)=O)N(C(C3=CC(C)=CC=C3)=O)[C@@H](C4=CC5=C(C=CC=C5)C=C4)[C@@H]2C6=CC7=C(C=CC=C7)C=C6,25,50
43,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC=CC=C1)N2C(C(O)=O)N(C(C3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,48
44,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC=C(Br)C=C1)N2C(C(O)=O)N(C(C3=CC=C(Br)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,47
45,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC=CC(C(F)(F)F)=C1)N2C(C(O)=O)N(C(C3=CC(C(F)(F)F)=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,47
46,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC=CC(CC)=C1)N2C(C(O)=O)N(C(C3=CC(CC)=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,43
47,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC=C(F)C=C1)N2C(C(O)=O)N(C(C3=CC=C(F)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,43
48,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC=C(Cl)C=C1)N2C(C(O)=O)N(C(C3=CC=C(Cl)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,41
49,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC=CC(Br)=C1)N2C(C(O)=O)N(C(C3=CC(Br)=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,38
50,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC=C([N+]([O-])=O)C=C1)N2C(C(O)=O)N(C(C3=CC=C([N+]([O-])=O)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,37
51,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC=C(C(F)(F)F)C=C1)N2C(C(O)=O)N(C(C3=CC=C(C(F)(F)F)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,35
52,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(CC1=CC=CC=C1)N2C(C(O)=O)N(C(CC3=CC=CC=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,30
53,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC=C(I)C=C1)N2C(C(O)=O)N(C(C3=CC=C(I)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,25,29
54,CC(C=C1)=CN=C1N2C=CC3=C2C=CC=C3,C=CCCCCCC,O=C(C1=CC=CC2=C1C=CC=C2)N3C(C(O)=O)N(C(C4=C(C=CC=C5)C5=CC=C4)=O)[C@@H](C6=CC=CC=C6)[C@@H]3C7=CC=CC=C7,25,24
